nconst,primaryName,birthYear,deathYear
nm0000131,John Cusack,1966,\N
nm1404408,Alice Eve,1982,\N
nm1812656,Luke Evans,1979,\N
nm0322407,Brendan Gleeson,1955,\N
nm0573618,Kevin McNally,1956,\N
nm2719825,Oliver Jackson-Cohen,1986,\N
nm0950788,Jimmy Yuill,1959,\N
nm1486831,Sam Hazeldine,1972,\N
nm0274913,Pam Ferris,1948,\N
nm0185354,Brendan Coyle,1963,\N
nm0712628,Adrian Rawlins,1958,\N
nm3059726,Aidan Feore,\N,\N
nm0499270,Dave Legeno,1963,2014
nm0188788,Michael Cronin,1942,\N
nm0690860,Michael Poole,\N,\N
nm0788332,Michael Shannon,1943,\N
nm1564421,Charity Wakefield,1980,\N
nm0912353,John Warnaby,\N,\N
nm2207826,Ted Barton,\N,\N
nm0105001,Spike Brandt,1961,\N
nm0222175,Trevor Devall,1972,\N
nm0254862,Greg Ellis,1968,\N
nm0296545,Nick Frost,1972,\N
nm0217221,Grey Griffin,1973,\N
nm0005042,Jason Isaacs,1963,\N
nm0000498,Matthew Lillard,1970,\N
nm2177528,Kate Micucci,1980,\N
nm0822812,Stephen Stanton,1961,\N
nm0851317,Fred Tatasciore,1968,\N
nm1312566,Kari Wahlgren,1977,\N
nm0919798,Frank Welker,1946,\N
nm0238135,Oliver Driver,1974,\N
nm2201960,Nathan Meister,\N,\N
nm0205541,Tammy Davis,\N,\N
nm0150193,Matthew Chamberlain,\N,\N
nm2050277,Nick Fenton,\N,\N
nm2626276,Sam Clarke,\N,\N
nm2618267,Eli Kent,\N,\N
nm1693223,Nick Blake,\N,\N
nm1642683,Danielle Mason,\N,\N
nm0270356,Peter Feeney,\N,\N
nm1394185,Glenis Levestam,\N,\N
nm1668394,Richard Chapman,\N,\N
nm1702929,Louis Sutherland,\N,\N
nm0942858,Tandi Wright,1970,\N
nm0361994,Ian Harcourt,\N,\N
nm0038778,James Ashcroft,1978,\N
nm0741581,Mick Rose,\N,\N
nm0574643,Kevin McTurk,1967,\N
nm0000219,Steven Seagal,1952,\N
nm0000323,Michael Caine,1933,\N
nm0001040,Joan Chen,1961,\N
nm0001525,John C. McGinley,1959,\N
nm0000388,R. Lee Ermey,1944,2018
nm0789449,Shari Shattuck,1960,\N
nm0000671,Billy Bob Thornton,1955,\N
nm0358118,Richard Hamilton,1920,2004
nm0109540,Chief Irvin Brink,\N,\N
nm0435099,Apanguluk Charlie Kairaiuak,\N,\N
nm0685580,Elsie Pistolhead,\N,\N
nm0874067,John Trudell,1946,2015
nm0823563,Mike Starr,1950,\N
nm0861752,Sven-Ole Thorsen,1944,\N
nm0221312,Jules Desjarlais,1951,\N
nm0913722,Moses Wassillie,\N,\N
nm0434555,Nanny Kagak,\N,\N
nm0449984,Irvin Kershner,1923,2010
nm0000527,Walter Matthau,1920,2000
nm0822972,Maureen Stapleton,1925,2006
nm0364455,Barbara Harris,1935,2018
nm0335519,Lee Grant,1925,\N
nm0814798,Louise Sorel,1940,\N
nm0275024,Dan Ferrone,1937,1999
nm0643621,José Ocasio,1938,\N
nm1053521,Thomas Carey,\N,\N
nm0838135,Jenny Sullivan,1946,\N
nm0196419,Augusta Dabney,1916,2008
nm0635978,Alan North,1920,2000
nm0016268,Frank Albanese,1931,2015
nm0057253,Raina Barrett,1936,\N
nm0066540,Jack Beers,1910,2009
nm0117460,James Bryson,\N,\N
nm0153366,Jordan Charney,1937,\N
nm0163975,Gordon B. Clarke,1906,1972
nm0223195,Alan DeWitt,1921,1976
nm0001842,Adam West,1928,2017
nm0911431,Burt Ward,1945,\N
nm0580886,Lee Meriwether,1935,\N
nm0003110,Cesar Romero,1907,1994
nm0580565,Burgess Meredith,1907,1997
nm0331319,Frank Gorshin,1933,2005
nm0621002,Alan Napier,1903,1988
nm0358076,Neil Hamilton,1899,1984
nm0720106,Stafford Repp,1918,1974
nm0086636,Madge Blake,1899,1969
nm0219666,Reginald Denny,1891,1967
nm0296330,Milton Frome,1909,1989
nm0673945,Gil Perkins,1907,1999
nm0188398,Dick Crockett,1915,1979
nm0768070,George Sawaya,1923,2003
nm0012113,Robert Adler,1906,1987
nm0023007,Leon Alton,1907,1995
nm0047677,Al Bain,1907,1993
nm0000112,Pierce Brosnan,1953,\N
nm0000157,Linda Hamilton,1956,\N
nm0808603,Jamie Renée Smith,1987,\N
nm0284158,Jeremy Foley,1983,\N
nm0388872,Elizabeth Hoffman,1927,\N
nm0356251,Charles Hallahan,1943,1997
nm0381416,Grant Heslov,1963,\N
nm0874461,Kirk Trutner,1961,\N
nm0275890,Arabella Field,1965,\N
nm0002245,Tzi Ma,\N,\N
nm0714753,Brian Reddy,\N,\N
nm0307600,Lee Garlington,1953,\N
nm0092877,Bill Bolender,1940,\N
nm0029100,Carole Androsky,1942,\N
nm0419273,Peter Jason,1944,\N
nm0911606,Jeffrey L. Ward,\N,\N
nm0354810,Tim Haldeman,1949,\N
nm0105013,Walker Brandt,\N,\N
nm0000597,Bill Pullman,1953,\N
nm0001774,Ben Stiller,1965,\N
nm0641939,Ryan O'Neal,1941,\N
nm0225332,Kim Dickens,1965,\N
nm0004911,Angela Featherstone,1965,\N
nm0743463,Hugh Ross,\N,\N
nm0222586,Sarah DeVincentis,\N,\N
nm0642867,Matt O'Toole,\N,\N
nm0547045,Michele Mariana,\N,\N
nm0441302,Robert Katims,1933,\N
nm0378020,Tyrone Henry,\N,\N
nm0058619,Aleta Barthell,\N,\N
nm0914414,Tapp Watkins,\N,\N
nm0922711,Wendy Westerwelle,1947,\N
nm0368527,Lauren Hasson,1989,\N
nm0675430,Daniel Pershing,\N,\N
nm0234606,David Doty,\N,\N
nm0186803,J.W. Crawford,1954,\N
nm0299855,Michael Gough,1956,\N
nm0276253,Holly Fields,1976,\N
nm0609137,Mark Moseley,1964,\N
nm1292126,Mel Fair,1964,\N
nm0812220,André Sogliuzzo,1966,\N
nm0852517,James Arnold Taylor,1969,\N
nm0152839,Tara Strong,1973,\N
nm0160004,Claudia Christian,1965,\N
nm0551223,Vanessa Marshall,1969,\N
nm0971017,Christopher Knights,1972,\N
nm0970606,Cody Cameron,1970,\N
nm0912403,Aron Warner,\N,\N
nm10452701,Jude Hillary,\N,\N
nm1517976,Chris Pine,1980,\N
nm0000126,Kevin Costner,1955,\N
nm0461136,Keira Knightley,1985,\N
nm0000110,Kenneth Branagh,1960,\N
nm0473814,Lenn Kudrjawizki,1975,\N
nm4110469,Alec Utgoff,1986,\N
nm0027800,Peter Andersson,1953,\N
nm2015010,Elena Velikanova,1984,\N
nm1996829,Nonso Anozie,1979,\N
nm1341829,Seth Ayott,\N,\N
nm0272173,Colm Feore,1958,\N
nm2110418,Gemma Chan,1982,\N
nm4391958,Aleksandar Aleksiev,\N,\N
nm1794753,Andrew Byron,1971,\N
nm0494749,Derek Lea,\N,\N
nm1909956,Andy Butcher,\N,\N
nm1716063,Lloyd Bass,\N,\N
nm4531186,Marat Berdyyev,\N,\N
nm0097765,Johnny Yong Bosch,1976,\N
nm4796765,Brian Hanford,\N,\N
nm0486047,Reuben Langdon,1975,\N
nm3841651,Faye Kingslee,\N,\N
nm0283253,Wendee Lee,1960,\N
nm1512156,Kate Higgins,1969,\N
nm0131436,Joey Camen,1957,\N
nm0816185,Dan Southworth,1974,\N
nm1315809,Stephanie Sheh,1977,\N
nm2763698,Haviland Stillwell,\N,\N
nm2257312,Brad Venable,1977,2021
nm0411440,Becky Boxer,1975,\N
nm2094653,Jay Preston,\N,\N
nm2947243,Elizabeth Hales,\N,\N
nm4630949,Jamison Boaz,\N,\N
nm5567287,Paul Stanko,\N,\N
nm10529136,Nicky Scorpio,\N,\N
nm1365137,Patrick Seitz,1978,\N
nm0536781,George Maharis,1928,\N
nm0000865,Richard Basehart,1914,1984
nm0004282,Anne Francis,1930,2011
nm0000763,Dana Andrews,1909,1992
nm0992264,John Larkin,1912,1965
nm0119993,Richard Bull,1924,2014
nm0840308,Frank Sutton,1923,1974
nm0000799,Edward Asner,1929,2021
nm0643000,Simon Oakland,1915,1983
nm0026930,John Anderson,1922,1992
nm0164818,John Clarke,1931,2019
nm0722440,Hari Rhodes,1932,1992
nm0086161,Martin Blaine,1913,1989
nm0065798,Henry Beckman,1921,2008
nm0491591,Harry Lauter,1914,1990
nm0393222,James Hong,1929,\N
nm0043086,Tol Avery,1915,1973
nm0056922,Michael Barrier,\N,\N
nm1826130,Mike Brune,\N,\N
nm0001043,Anna Chlumsky,1980,\N
nm1319753,Katie Orr,1979,\N
nm2510729,Matt Hutchinson,\N,\N
nm0539149,Marla Malcolm,1982,\N
nm2335230,Mr. Malt,\N,\N
nm1285846,Matthew Stanton,\N,\N
nm1728002,Bill Szymanski,\N,\N
nm2331027,Hawmi Guillebeaux,\N,\N
nm0134016,Vince Canlas,\N,\N
nm2353741,Roudie Augustin,\N,\N
nm2479358,Barbara Carnes,\N,\N
nm2584719,Jacqueline Flash,2000,\N
nm2584795,Zachary Flash,\N,\N
nm2387181,Michael Goldberg,\N,\N
nm0338011,Jonathan Michael Green,1974,\N
nm2479178,John Grubb,\N,\N
nm1592125,Tony Holley,1972,\N
nm1822659,Nat Wolff,1994,\N
nm1411125,Selena Gomez,1992,\N
nm0000571,Mary-Louise Parker,1964,\N
nm0000223,Elisabeth Shue,1963,\N
nm0001518,Dylan McDermott,1961,\N
nm2473719,Lachlan Buchanan,1988,\N
nm0001287,Heather Graham,1970,\N
nm2413197,Ashley Rickards,1992,\N
nm0005134,Jason Lee,1970,\N
nm3271473,Austin Stowell,1984,\N
nm0000144,Cary Elwes,1962,\N
nm0911320,Patrick Warburton,1964,\N
nm0000997,Gary Busey,1944,\N
nm0010338,Jason 'Wee Man' Acuña,1973,\N
nm1566033,Rusty Joiner,1972,\N
nm2107837,Nate Hartley,1992,\N
nm2356535,Mitch Hewer,1989,\N
nm3268924,Scott Evans,1983,\N
nm0000377,Richard Dreyfuss,1947,\N
nm0000389,Emilio Estevez,1962,\N
nm0000656,Madeleine Stowe,1958,\N
nm0001644,Aidan Quinn,1959,\N
nm0491357,Dan Lauria,1947,\N
nm0001845,Forest Whitaker,1961,\N
nm0870439,Ian Tracey,1964,\N
nm0082467,Earl Billings,1945,\N
nm0203768,Jackson Davies,1950,\N
nm0538387,J.J. Makaro,\N,\N
nm0026245,Scott Andersen,\N,\N
nm0659770,Tony Pantages,\N,\N
nm0091297,Beatrice Boepple,1962,\N
nm0937297,Kyle Wodia,\N,\N
nm0817443,Jan Speck,1954,\N
nm0464940,Kim Kondrashoff,1958,\N
nm0381733,Gary Hetherington,1941,\N
nm0533154,Don MacKay,\N,\N
nm0047332,Jonathan Bailey,1988,\N
nm0766837,Jennifer Saunders,1958,\N
nm0249528,Adrian Edmondson,1957,\N
nm13220724,Finn Vogels,\N,\N
nm0484678,Michael Landes,1972,\N
nm0496782,Alexondra Lee,1975,\N
nm0304579,Richard Gant,1944,\N
nm0940173,Danny Woodburn,1964,\N
nm1057047,Jonathan Togo,1977,\N
nm0923490,Sean Whalen,1964,\N
nm0943156,Ping Wu,\N,\N
nm0705280,Mike Rad,\N,\N
nm0005306,Pauley Perrette,1969,\N
nm0220788,Mike Desabrais,\N,\N
nm0137428,Kurt Carley,1962,\N
nm0023008,Marnie Alton,\N,\N
nm0308606,Willie Garson,1964,2021
nm1081125,Holly Eglinton,1975,\N
nm1516914,Mashiah Vaughn-Hulbert,\N,\N
nm0528311,Gus Lynch,1972,2014
nm0212939,Ron Dean,1938,\N
nm0948812,Troy Yorke,1972,\N
nm2809577,Jenny Slate,1982,\N
nm0580351,Stephen Merchant,1974,\N
nm1886602,Miles Teller,1987,\N
nm2201555,Aubrey Plaza,1984,\N
nm0732497,Craig Robinson,1971,\N
nm1443527,Rob Riggle,1970,\N
nm12797566,Elsa Clooney,\N,\N
nm12369625,Keenon Douglas,\N,\N
nm12418118,Charlie Tom,\N,\N
nm12495799,Johnny Kroll,\N,\N
nm0412585,Junko Iwao,1970,\N
nm0559551,Rica Matsumoto,1968,\N
nm0875320,Shinpachi Tsuji,1956,\N
nm0959991,Masaaki Ôkura,\N,\N
nm0015342,Yôsuke Akimoto,1944,\N
nm0794054,Yoku Shioya,1958,\N
nm0394649,Hideyuki Hori,1954,\N
nm0793987,Emi Shinohara,1963,\N
nm0247929,Masashi Ebara,1953,\N
nm0363066,Kiyoyuki Yanada,1965,\N
nm0299208,Tôru Furusawa,1962,\N
nm0631577,Shiho Niiyama,1970,2000
nm3487595,Emiko Furukawa,\N,\N
nm0361656,Aya Hara,\N,\N
nm0586528,Shin'ichirô Miki,1968,\N
nm1225250,Jin Yamanoi,1962,\N
nm0849773,Megumi Tano,\N,\N
nm0619172,Takashi Nagasako,1964,\N
nm0001640,Richard Pryor,1940,2005
nm0001006,John Candy,1950,1994
nm0571188,Lonette McKee,1954,\N
nm0004834,Stephen Collins,1947,\N
nm0001583,Jerry Orbach,1935,2004
nm0385757,Pat Hingle,1924,2009
nm0271165,Tovah Feldshuh,1952,\N
nm0002025,Hume Cronyn,1911,2003
nm0341055,Joe Grifasi,1944,\N
nm0924668,David White,1916,1990
nm0218731,Jerome Dempsey,1929,1998
nm0937387,David Wohl,1953,\N
nm0191783,Ji-Tu Cumbuka,1940,2017
nm0463100,Milt Kogan,1936,\N
nm0137142,Carmine Caridi,1934,2019
nm0807025,Yakov Smirnoff,1951,\N
nm0001548,Rick Moranis,1953,\N
nm0803890,Gustaf Skarsgård,1980,\N
nm6946524,Díana Bermudez,\N,\N
nm0375138,Sofia Helin,1972,\N
