locationID,name,country
1,Wadi Rum,Jordan
2,British Columbia,Canada
3,California,USA
4,Australian Capital Territory,Australia
5,England,UK
6,Valletta,Malta
7,Bulgaria,Bulgaria
8,New York,USA
9,Louisiana,USA
10,North Carolina,USA
11,Alberta,Canada
12,Polynesia,Polynesia
13,New Jersey,USA
14,Georgia,USA
15,Nova Scotia,Canada
16,Canary Islands,Spain
17,Massachusetts,USA
18,County Tipperary,Ireland
19,Berlin,Germany
20,Essonne,France
21,Budapest,Hungary
22,Ontario,Canada
23,Djúpavík,Iceland
24,Bucharest,Romania
25,Vancouver,Canada
26,Croatia,Croatia
27,Illinois,USA
28,Québec,Canada
29,New South Wales,Australia
30,Dunedin,New Zealand
31,Northern Ireland,UK
32,Castelo Branco,Portugal
33,Alabama,USA
34,Iceland,Iceland
35,Girona,Spain
36,Ohio,USA
37,Oslo,Norway
38,Norway,Norway
39,Cognac,France
40,Sicily,Italy
41,Maidenhead,UK
42,Aswan,Egypt
43,Liguria,Italy
44,Rajasthan,India
45,Texas,USA
46,Charente,France
47,Seoul,South Korea
48,Samana,Dominican Republic
49,Panama,Panama
50,Lombardy,Italy
51,New Zealand,New Zealand
52,North Atlantic,Atlantic Ocean
53,Oklahoma,USA
54,Hanoi,Vietnam
55,Indiana,USA
56,Sofia,Bulgaria
57,Distrito Federal,Mexico
58,Hiroshima,Japan
