companyID,mID,name
1,tt1160419,Warner Bros.
2,tt1160419,Legendary Entertainment
3,tt1160419,Villeneuve Films
4,tt13403046,Fox Searchlight Pictures
5,tt13403046,Hyperobject Industries
6,tt0117571,Dimension Films
7,tt0117571,Woods Entertainment
8,tt11245972,Paramount Pictures
9,tt11245972,Spyglass Media Group
10,tt11245972,Project X Entertainment
11,tt4998632,Universal Pictures
12,tt4998632,Endeavor Content
13,tt4998632,New Republic Pictures
14,tt10406596,Bankside Films
15,tt10406596,Fantastic Films
16,tt10406596,Screen Ireland
17,tt14060094,Zero Gravity Management
18,tt14060094,Footloose Productions
19,tt14060094,Solution Entertainment Group
20,tt4154796,Marvel Studios
21,tt4154796,Walt Disney Pictures
22,tt3402236,Twentieth Century Fox
23,tt3402236,Genre Films
24,tt3402236,Kinberg Genre
25,tt8178634,DVV Entertainment
26,tt8430054,Final Cut for Real
27,tt8430054,Sun Creature Studio
28,tt8430054,Vivement Lundi
29,tt9464038,PASTEL
30,tt9464038,Leo Sanchez Studio
31,tt9464038,Pinkman TV
32,tt2322441,Focus Features
33,tt2322441,Michael De Luca Productions
34,tt2322441,Trigger Street Productions
35,tt3183660,Heyday Films
36,tt14114802,FilmNation Entertainment
37,tt14114802,Scoop Productions (II)
38,tt1877830,6th & Idaho Productions
39,tt1877830,DC Comics
40,tt11286210,Amazon Studios
41,tt11286210,Animal Kingdom
42,tt11286210,Big Indie Pictures
43,tt2180339,20th Century Studios
44,tt2180339,Entertainment 360
45,tt6705162,Fox Family Films
46,tt6705162,Khalabo Ink Society
47,tt13610562,Apatow Productions
48,tt10665338,Miramax
49,tt10665338,Blumhouse Productions
50,tt4513678,Columbia Pictures
51,tt4513678,BRON Studios
52,tt4513678,Ghostcorps
53,tt1655389,Plan B Entertainment
54,tt3521164,Hurwitz Creative
55,tt3521164,Walt Disney Animation Studios
56,tt3581652,Amblin Entertainment
57,tt3581652,Amblin Partners
58,tt12585076,Berlanti Productions
59,tt12585076,Good Universe
60,tt7984734,A24
61,tt7984734,Maiden Voyage Pictures
62,tt7984734,New Regency Productions
63,tt8296030,Causeway Films
64,tt8296030,Head Gear Films
65,tt8296030,Metrol Technology
66,tt14331144,TOHO animation
67,tt11271038,Metro-Goldwyn-Mayer (MGM)
68,tt11271038,Bron Creative
69,tt3281548,Pascal Pictures
70,tt8480678,Licensing Brands
71,tt8480678,Luminescence
72,tt9243804,Sailor Bear
73,tt10838180,Village Roadshow Pictures
74,tt10838180,Venus Castina Productions
75,tt0092099,Don Simpson/Jerry Bruckheimer Films
76,tt0055614,The Mirisch Corporation
77,tt0055614,Seven Arts Productions
78,tt10944760,Kazak Productions
79,tt10944760,Frakas Productions
80,tt10944760,Arte France Cinéma
81,tt2463208,21 Laps Entertainment
82,tt2463208,Maximum Effort
83,tt2463208,Skydance Media
84,tt11252248,Metro-Goldwyn-Mayer (MGM)
85,tt11252248,CAA Media Finance
86,tt10095582,IAC Films
87,tt9411972,3000 Pictures
88,tt9411972,Hello Sunshine
89,tt1856101,Alcon Entertainment
90,tt1856101,Sony
91,tt6920084,Constantin Film
92,tt6920084,Davis Films
93,tt12361974,Atlas Entertainment
94,tt12361974,DC Entertainment
95,tt12361974,HBO Max
96,tt3228774,Marc Platt Productions
97,tt3228774,Gunn Films
98,tt10323676,30WEST
99,tt10323676,Icon Films
100,tt13634480,Bardel Entertainment
101,tt13634480,Blue Sky Studios
102,tt7979580,Sony Pictures Animation
103,tt7979580,Lord Miller
104,tt11291274,Lionsgate
105,tt11291274,Saturn Films
106,tt0468569,Syncopy
107,tt11924384,Left Handed Films
108,tt11924384,WePresent
109,tt11924384,Somesuch
110,tt8115900,DreamWorks Animation
111,tt5834426,Centropolis Entertainment
112,tt5834426,AGC Studios
113,tt5834426,H Brothers
114,tt11286314,Province of British Columbia Production Services Tax Credit
115,tt11286314,Bluegrass Films
116,tt4633694,Sony Pictures Entertainment (SPE)
117,tt4633694,Marvel Entertainment
118,tt11127680,Ascendant Films
119,tt11127680,Burton Fox Films
120,tt11127680,White Hot Productions
121,tt1051906,Goalpost Pictures
122,tt10298810,Pixar Animation Studios
123,tt10293406,Cross City Films
124,tt10293406,BBC Films
125,tt10293406,Max Films International
126,tt8772262,B-Reel Films
127,tt8772262,Nordisk Film
128,tt6467266,Illumination Entertainment
129,tt6467266,Dentsu
130,tt12789558,TKBC
131,tt12412888,Sega Sammy Group
132,tt12412888,Original Film
133,tt3470600,Fuji Television Network
134,tt10223460,Kung Fu Monkey Productions
135,tt10223460,Nuyorican Productions
136,tt13841850,DNA Films
137,tt11198330,Good Banana
138,tt11198330,Home Box Office (HBO)
139,tt5052448,QC Entertainment
140,tt1464335,Arad Productions
141,tt5715874,Element Pictures
142,tt5715874,Film4
143,tt6710474,AGBO
144,tt6710474,Hotdog Hands
145,tt6710474,Ley Line Entertainment
146,tt10370710,Oslo Pictures
147,tt10370710,MK2 Productions
148,tt10370710,Film i Väst
149,tt9639470,Focus Features International (FFI)
150,tt9639470,Perfect World Pictures
151,tt9907782,LD Entertainment
152,tt9907782,Piste Rouge
153,tt13235822,Catchlight Studios
154,tt13235822,Raimi Productions
155,tt13235822,Stage 6 Films
156,tt0068646,Alfran Productions
157,tt6856242,Marv Films
158,tt6856242,Cloudy Productions
159,tt11324406,Annapurna Television
160,tt15033192,High Frequency Entertainment
161,tt15033192,Mutressa Movies
162,tt7657566,Scott Free Productions
163,tt9620288,Star Thrower Entertainment
164,tt9620288,Westbrook Studios
165,tt0110912,A Band Apart
166,tt0110912,Jersey Films
167,tt0119173,Caravan Pictures
168,tt0119173,First Independent Films
169,tt0119173,Hollywood Pictures
170,tt11466222,Dickhouse Productions
171,tt11466222,Gorilla Flicks
172,tt11466222,MTV Entertainment Studios
173,tt7978758,Minnow Mountain
174,tt7978758,Submarine
175,tt7978758,Detour Filmproduction
176,tt0077413,Mersham Productions Ltd.
177,tt0077413,EMI Films
