CastID,Name,DOB
0000706,Michelle Yeoh,1962-8-6
3513533,Stephanie Hsu,1990-11-25
0702841,Ke Huy Quan,1971-8-20
0393222,"James Hong
(I)",1929-2-22
0000130,Jamie Lee Curtis,1958-11-22
3303059,Tallie Medel,1986-5-10
2809577,Jenny Slate,1982-3-25
1484270,Harry Shum Jr.,1982-4-28
0927706,Biff Wiff,
4576371,Sunita Mani,1986-12-13
1594381,Aaron Lazar,
5911757,"Brian Le
(III)",
5869658,"Andy Le
(III)",
4250814,Narayana Cabral,
7918162,Chelsey Goldsmith,
2359285,Craig Henningsen,1987-8-20
1190376,Anthony Molinari,1974-5-9
1640149,"Dan Brown
(VII)",1982-5-4
0329481,Ginnifer Goodwin,1978-5-22
0000867,"Jason Bateman
(I)",1969-1-14
0252961,Idris Elba,1972-9-6
2809577,Jenny Slate,1982-3-25
1535594,Nate Torrence,1977-12-1
0001372,"Bonnie Hunt
(I)",1961-9-22
0482141,"Don Lake
(I)",1956-11-26
0001045,"Tommy Chong
(I)",1938-5-24
0799777,J.K. Simmons,1955-1-9
0818055,Octavia Spencer,1970-5-25
0876138,Alan Tudyk,1971-3-16
0787680,"Shakira
(I)",1977-2-2
0675442,Raymond S. Persi,1975-2-17
5415922,Della Saba,1989-12-6
0005606,Maurice LaMarche,1958-3-30
1601882,"Phil Johnston
(I)",1971-10-26
0299275,Fuschia!,1965-7-25
0224007,John DiMaggio,1968-9-4
0644897,Sandra Oh,1971-7-20
1640384,Fivel Stewart,1996-11-4
0000551,Dermot Mulroney,1963-10-31
3843467,Odeya Rush,1997-5-12
9659083,MeeWha Alana Lee,
1502541,Tom Yi,
4475785,Danielle K. Golden,
7997107,Hana Marie Kim,
12018913,Mark Kirksey,
0005562,"Owen Wilson
(I)",1968-11-18
0001372,"Bonnie Hunt
(I)",1961-9-22
0000056,"Paul Newman
(I)
(1925–2008)",1925-1-26
1249256,Larry the Cable Guy,1963-2-17
0001507,Cheech Marin,1946-7-13
0001724,Tony Shalhoub,1953-10-9
0702925,Guido Quaroni,
0507338,Jenifer Lewis,1957-1-25
0233209,"Paul Dooley
(I)",1928-2-22
0909274,"Michael Wallis
(I)",1945-10-7
