genre,mID
Crime,1486192
Mystery,1486192
Thriller,1486192
Animation,13676256
Action,13676256
Adventure,13676256
Comedy,13676256
Family,13676256
Fantasy,13676256
Mystery,13676256
Comedy,0779982
Horror,0779982
Sci-Fi,0779982
Action,0110725
Adventure,0110725
Thriller,0110725
Comedy,0067589
Drama,0067589
Romance,0067589
Action,0060153
Adventure,0060153
Comedy,0060153
Crime,0060153
Action,0118928
Adventure,0118928
Thriller,0118928
Comedy,0120906
Crime,0120906
Drama,0120906
Mystery,0120906
Romance,0120906
Thriller,0120906
Animation,0410595
Action,0410595
Adventure,0410595
Comedy,0410595
Family,0410595
Fantasy,0410595
Action,1205537
Drama,1205537
Thriller,1205537
Action,8651604
Adventure,8651604
Fantasy,8651604
Horror,8651604
Crime,0059678
Mystery,0059678
Sci-Fi,0059678
Thriller,0059678
Comedy,0780485
Horror,0780485
Comedy,2314824
Romance,2314824
Action,0094025
Comedy,0094025
Crime,0094025
Thriller,0094025
Animation,15781790
Action,0268094
Comedy,0268094
Crime,0268094
Fantasy,0268094
Horror,0268094
Animation,1117392
Fantasy,6638042
Animation,0156887
Crime,0156887
Drama,0156887
Mystery,0156887
Thriller,0156887
Comedy,0088850
Drama,4697290
History,4697290
Crime,0105810
Drama,0105810
Thriller,0105810
Action,6586344
Crime,6586344
Drama,6586344
Comedy,0331933
Crime,0331933
Crime,7298596
Drama,7298596
Mystery,7298596
Thriller,7298596
Action,0100685
Crime,0100685
Drama,0100685
Romance,0100685
Thriller,0100685
Adventure,0086287
Mystery,0086287
Romance,0086287
Thriller,0086287
Action,6044910
Adventure,6044910
Crime,6044910
Drama,6044910
History,6044910
Thriller,6044910
Documentary,6098546
Crime,6098546
Animation,0332318
Family,0332318
Fantasy,0332318
Sci-Fi,0332318
Action,7069178
Drama,7069178
Horror,7069178
Mystery,7069178
Romance,7069178
Sci-Fi,7069178
Thriller,7069178
Action,13966962
Adventure,13966962
Crime,13966962
Drama,13966962
Mystery,13966962
Sci-Fi,13966962
Action,11525390
Horror,11525390
Adventure,0069956
Horror,0069956
Romance,0069956
Crime,0086979
Drama,0086979
Thriller,0086979
Drama,15141288
Fantasy,15141288
Horror,15141288
Musical,15141288
Comedy,2334873
Drama,2334873
Comedy,0477139
Drama,0477139
Fantasy,0477139
Romance,0477139
Crime,0383153
Drama,0383153
Thriller,0383153
Comedy,6818880
Family,6818880
Comedy,10022384
Romance,10022384
Drama,12618926
Drama,10023172
Romance,10023172
Action,0070672
Crime,0070672
Drama,0070672
Mystery,0070672
Action,5095030
Adventure,5095030
Comedy,5095030
Sci-Fi,5095030
Action,2717822
Crime,2717822
Thriller,2717822
Drama,0119217
Romance,0119217
Horror,9728962
Thriller,9728962
Crime,0187330
Drama,0187330
Action,0089470
Drama,0089470
Drama,0425430
Horror,0425430
Mystery,0425430
Drama,0053666
Mystery,0053666
Romance,0053666
Action,8242058
Adventure,8242058
Family,8242058
Fantasy,8242058
Horror,8242058
Mystery,8242058
Thriller,8242058
Drama,0086011
Romance,0086011
Animation,0078780
Comedy,0078780
Family,0078780
Sport,0078780
Crime,0036775
Drama,0036775
Film-Noir,0036775
Mystery,0036775
Thriller,0036775
Action,4595412
Drama,4595412
Sci-Fi,4595412
Animation,11605032
Action,11605032
Adventure,11605032
Drama,10192704
Mystery,10192704
Thriller,10192704
Short,7914938
Drama,7914938
Action,0089695
Comedy,0089695
Crime,0089695
Drama,0089695
Horror,0084133
Thriller,0084133
Action,0493464
Crime,0493464
Thriller,0493464
Drama,6053438
Mystery,6053438
Thriller,6053438
Crime,2262315
Drama,2262315
Horror,2262315
Thriller,2262315
Short,6018502
Comedy,6018502
Fantasy,6018502
Music,6018502
Crime,14140886
Drama,14140886
Fantasy,14140886
Mystery,14140886
Thriller,14140886
Adventure,0048960
Comedy,0048960
Family,0048960
Romance,0048960
Biography,6851410
Crime,6851410
Drama,6851410
Drama,2319739
Sci-Fi,2319739
Animation,9303756
Adventure,9303756
Comedy,9303756
Family,9303756
Fantasy,9303756
Crime,0065889
Drama,0065889
Horror,0078417
Sci-Fi,0078417
Mystery,0078417
Crime,3654796
Drama,3654796
Horror,3654796
Thriller,3654796
Short,4963986
Comedy,4963986
Horror,4963986
Drama,0762073
Fantasy,0762073
Horror,0762073
Romance,0762073
Comedy,0217756
Sport,0217756
Animation,8141808
Short,8141808
Family,8141808
Musical,8141808
Crime,8433210
Drama,8433210
Horror,8433210
Mystery,8433210
Thriller,8433210
Animation,0118617
Adventure,0118617
Drama,0118617
Family,0118617
Fantasy,0118617
Musical,0118617
Mystery,0118617
Romance,0118617
Animation,0203237
Action,0203237
Fantasy,0203237
Sci-Fi,0203237
Action,11697484
Drama,11697484
Biography,15837600
Crime,15837600
Drama,15837600
Drama,6547786
Sci-Fi,6547786
Thriller,6547786
Comedy,0109219
Drama,0109219
Romance,0109219
Family,0163467
Comedy,0163467
Sci-Fi,0163467
Comedy,9563140
Mystery,9563140
Adventure,0027300
Drama,0027300
Romance,0027300
Action,4943218
Sci-Fi,4943218
Thriller,4943218
Comedy,0762114
Romance,0762114
Drama,0038924
Music,0038924
Horror,0080764
Comedy,0080139
Drama,0080139
Mystery,0080139
Thriller,0080139
Action,0102975
Adventure,0102975
Sci-Fi,0102975
Thriller,0102975
