keyword,mID
mystery killer,1486192
murder of a police officer,1486192
psychotronic film,1486192
character repeats someone else's dialogue,1486192
trapdoor,1486192
scooby doo character,13676256
cartoon dog,13676256
dog,13676256
airplane,13676256
parachute,13676256
weresheep,0779982
eaten alive,0779982
animal castration,0779982
mad lamb disease,0779982
lamb,0779982
oil,0110725
environmental,0110725
murder,0110725
tribe,0110725
oil spill,0110725
literature on screen,0067589
american literature on screen,0067589
humoristic literature on screen,0067589
american humoristic literature on screen,0067589
20th century literature on screen,0067589
batman character,0060153
parody,0060153
campy,0060153
tongue in cheek,0060153
world domination,0060153
volcano,0118928
mayor,0118928
lava,0118928
volcanologist,0118928
volcanic eruption,0118928
private detective,0120906
neo noir,0120906
whodunit,0120906
los angeles california,0120906
detective,0120906
nintendo gamecube,0410595
playstation 2,0410595
xbox,0410595
microsoft windows,0410595
single player,0410595
jack ryan character,1205537
russian,1205537
marine,1205537
u.s. marine,1205537
terrorist plot,1205537
devil may cry,8651604
single player,8651604
playstation 4,8651604
xbox one,8651604
microsoft windows,8651604
biological warfare,0059678
germ warfare,0059678
laboratory,0059678
race against time,0059678
mad scientist,0059678
redneck,0780485
blood,0780485
satire,0780485
wheatgrass,0780485
wheelchair,0780485
sex with friend's mother,2314824
voyeur,2314824
voyeurism,2314824
nudity,2314824
female nudity,2314824
escaped convict,0094025
surveillance,0094025
undercover,0094025
stakeout,0094025
hiding under a bed,0094025
supernatural power,0268094
psychotronic series,0268094
paranormal investigator,0268094
female paranormal investigator,0268094
link,0268094
stalking,0156887
actress,0156887
obsessed fan,0156887
ambiguity,0156887
film within a film,0156887
minor league baseball,0088850
baseball player,0088850
spending money,0088850
wasting money,0088850
inheritance challenge,0088850
book,4697290
street life,0105810
realism,0105810
homelessness,0105810
forced to strip,0105810
man forced to strip,0105810
male frontal nudity,6586344
male nudity,6586344
male rear nudity,6586344
police,6586344
war veteran,6586344
middle age romance,0331933
gender in title,0331933
four word title,0331933
movie flop,0331933
fbi federal bureau of investigation,0331933
australian outback,7298596
two word series title,7298596
australian,7298596
australian noir,7298596
aboriginal australian,7298596
friendship,0100685
brother brother relationship,0100685
irish gangster,0100685
homecoming,0100685
anti hero,0100685
secret society,0086287
state secret,0086287
father daughter relationship,0086287
whodunit,0086287
suspect,0086287
mekong river,6044910
china,6044910
thailand,6044910
drone,6044910
russian roulette,6044910
murder,6098546
big brother little brother relationship,6098546
broken home,6098546
crooked mayor,0332318
corrupt mayor,0332318
mayor,0332318
mayor as protagonist,0332318
hoverbike,0332318
vampire horror,7069178
disney plus,13966962
based on comic book,13966962
based on comic,13966962
marvel cinematic universe,13966962
spin off,13966962
video nasty,0069956
five word title,0069956
interracial marriage,0069956
bloody violence,0069956
midnight movie,0069956
double cross,0086979
