mID,CastID,Role
6710474,0000706,actor
6710474,3513533,actor
6710474,0702841,actor
6710474,0393222,actor
6710474,0000130,actor
6710474,3303059,actor
6710474,2809577,actor
6710474,1484270,actor
6710474,0927706,actor
6710474,4576371,actor
6710474,1594381,actor
6710474,5911757,actor
6710474,5869658,actor
6710474,4250814,actor
6710474,7918162,actor
6710474,2359285,actor
6710474,1190376,actor
6710474,1640149,actor
2948356,0329481,actor
2948356,0000867,actor
2948356,0252961,actor
2948356,2809577,actor
2948356,1535594,actor
2948356,0001372,actor
2948356,0482141,actor
2948356,0001045,actor
2948356,0799777,actor
2948356,0818055,actor
2948356,0876138,actor
2948356,0787680,actor
2948356,0675442,actor
2948356,5415922,actor
2948356,0005606,actor
2948356,1601882,actor
2948356,0299275,actor
2948356,0224007,actor
13235822,0644897,actor
13235822,1640384,actor
13235822,0000551,actor
13235822,3843467,actor
13235822,9659083,actor
13235822,1502541,actor
13235822,4475785,actor
13235822,7997107,actor
13235822,12018913,actor
0317219,0005562,actor
0317219,0001372,actor
0317219,0000056,actor
0317219,1249256,actor
0317219,0001507,actor
0317219,0001724,actor
0317219,0702925,actor
0317219,0507338,actor
0317219,0233209,actor
0317219,0909274,actor
0317219,0137506,actor
0317219,0001340,actor
0317219,0001652,actor
0317219,0710020,actor
0317219,0000474,actor
0317219,0678809,actor
0317219,0005315,actor
0317219,0182471,actor
10323676,1517976,actor
10323676,1843026,actor
10323676,7870704,actor
10323676,11123470,actor
10323676,2270222,actor
10323676,7349608,actor
10323676,5745472,actor
10323676,0480961,actor
10323676,4556061,actor
10323676,2760215,actor
10323676,0004936,actor
10323676,7335799,actor
10323676,9105523,actor
10323676,13530011,actor
10323676,0941888,actor
10323676,1324884,actor
10323676,0502696,actor
10323676,3149715,actor
9620288,0000226,actor
9620288,0254712,actor
9620288,1256532,actor
9620288,5181138,actor
9620288,9403098,actor
9620288,0001282,actor
9620288,10693286,actor
9620288,6822586,actor
9620288,4815306,actor
9620288,0727640,actor
9620288,0063800,actor
9620288,5164937,actor
9620288,8582283,actor
9620288,8939444,actor
9620288,8929615,actor
9620288,1456793,actor
9620288,0242656,actor
9620288,0339159,actor
9419884,1212722,actor
9419884,1046097,actor
9419884,0647634,actor
9419884,0836121,actor
9419884,0001772,actor
9419884,0132257,actor
9419884,7961780,actor
9419884,0938950,actor
9419884,0252230,actor
9419884,6623135,actor
9419884,4810527,actor
9419884,2651768,actor
9419884,11105476,actor
1745960,0000129,actor
1745960,0000124,actor
1745960,1886602,actor
1745960,0000174,actor
1745960,4834815,actor
1745960,0358316,actor
1745960,1412974,actor
1745960,0000438,actor
1745960,0446465,actor
1745960,3254274,actor
1745960,5730649,actor
1745960,9404262,actor
1745960,6639989,actor
1745960,1337350,actor
1745960,3100463,actor
1745960,8241861,actor
1745960,7153803,actor
1745960,1506981,actor
3794354,2355635,actor
3794354,0005188,actor
3794354,0000120,actor
3794354,1754366,actor
3794354,5625020,actor
3794354,1269723,actor
3794354,2837384,actor
3794354,0568180,actor
3794354,0125148,actor
3794354,0003964,actor
3794354,9961714,actor
3794354,1275101,actor
3794354,0446219,actor
3794354,2089175,actor
3794354,0149942,actor
3794354,0389581,actor
3794354,0117206,actor
3794354,6528918,actor
9411972,8402992,actor
9411972,0226813,actor
9411972,6170168,actor
9411972,0000657,actor
9411972,4973896,actor
9411972,1426686,actor
9411972,1501738,actor
9411972,0404924,actor
9411972,0159609,actor
9411972,5016962,actor
9411972,9897928,actor
9411972,0847857,actor
9411972,0532160,actor
9411972,1551999,actor
9411972,10781861,actor
9411972,2519780,actor
9411972,7582009,actor
9411972,10108642,actor
4244994,0000354,actor
4244994,3485845,actor
4244994,3069650,actor
4244994,0910040,actor
4244994,0000255,actor
4244994,3867299,actor
4244994,0190744,actor
4244994,0396908,actor
4244994,0183122,actor
4244994,13009138,actor
4244994,0662511,actor
4244994,7552807,actor
4244994,1492939,actor
4244994,1914270,actor
4244994,1401016,actor
4244994,1128414,actor
4244994,7846802,actor
4244994,0568385,actor
6920084,2546012,actor
6920084,2064412,actor
6920084,4789912,actor
6920084,2584392,actor
6920084,2240326,actor
6920084,0006610,actor
6920084,0568180,actor
6920084,5182450,actor
6920084,1756186,actor
6920084,10894712,actor
6920084,3466819,actor
6920084,4145157,actor
6920084,1956710,actor
6920084,11961024,actor
6920084,3848496,actor
6920084,8748191,actor
6920084,11967053,actor
6920084,1792091,actor
3521164,7635388,actor
